date_SK,date_ID,full_date,day,Month,month_name,Year,Quarter,Season,Is_Weekend,Season
20241269,404,2/7/2025,7,2,February,2025,1,Winter,,
20241270,405,2/8/2025,8,2,February,2025,1,Winter,,
20241271,406,2/9/2025,9,2,February,2025,1,Winter,,
20241272,407,2/10/2025,10,2,February,2025,1,Winter,,
20241273,408,2/11/2025,11,2,February,2025,1,Winter,,
20241274,409,2/12/2025,12,2,February,2025,1,Winter,,
20241275,410,2/13/2025,13,2,February,2025,1,Winter,,
20241276,411,2/14/2025,14,2,February,2025,1,Winter,,
20241277,412,2/15/2025,15,2,February,2025,1,Winter,,
20241278,413,2/16/2025,16,2,February,2025,1,Winter,,
20241279,414,2/17/2025,17,2,February,2025,1,Winter,,
20241280,415,2/18/2025,18,2,February,2025,1,Winter,,
20241281,416,2/19/2025,19,2,February,2025,1,Winter,,
20241282,417,2/20/2025,20,2,February,2025,1,Winter,,
20241283,418,2/21/2025,21,2,February,2025,1,Winter,,
20241284,419,2/22/2025,22,2,February,2025,1,Winter,,
20241285,420,2/23/2025,23,2,February,2025,1,Winter,,
20241286,421,2/24/2025,24,2,February,2025,1,Winter,,
20241287,422,2/25/2025,25,2,February,2025,1,Winter,,
20241288,423,2/26/2025,26,2,February,2025,1,Winter,,
20241289,424,2/27/2025,27,2,February,2025,1,Winter,,
20241290,425,2/28/2025,28,2,February,2025,1,Winter,,
20241291,426,3/1/2025,1,3,March,2025,1,Spring,,
20241292,427,3/2/2025,2,3,March,2025,1,Spring,,
20241293,428,3/3/2025,3,3,March,2025,1,Spring,,
20241294,429,3/4/2025,4,3,March,2025,1,Spring,,
20241295,430,3/5/2025,5,3,March,2025,1,Spring,,
20241296,431,3/6/2025,6,3,March,2025,1,Spring,,
20241297,432,3/7/2025,7,3,March,2025,1,Spring,,
20241298,433,3/8/2025,8,3,March,2025,1,Spring,,
20241299,434,3/9/2025,9,3,March,2025,1,Spring,,
20241300,435,3/10/2025,10,3,March,2025,1,Spring,,
20241301,436,3/11/2025,11,3,March,2025,1,Spring,,
20241302,437,3/12/2025,12,3,March,2025,1,Spring,,
20241303,438,3/13/2025,13,3,March,2025,1,Spring,,
20241304,439,3/14/2025,14,3,March,2025,1,Spring,,
20241305,440,3/15/2025,15,3,March,2025,1,Spring,,
20241306,441,3/16/2025,16,3,March,2025,1,Spring,,
20241307,442,3/17/2025,17,3,March,2025,1,Spring,,
20241308,443,3/18/2025,18,3,March,2025,1,Spring,,
20241309,444,3/19/2025,19,3,March,2025,1,Spring,,
20241310,445,3/20/2025,20,3,March,2025,1,Spring,,
20241311,446,3/21/2025,21,3,March,2025,1,Spring,,
20241312,447,3/22/2025,22,3,March,2025,1,Spring,,
20241313,448,3/23/2025,23,3,March,2025,1,Spring,,
20241314,449,3/24/2025,24,3,March,2025,1,Spring,,
20241315,450,3/25/2025,25,3,March,2025,1,Spring,,
20241316,451,3/26/2025,26,3,March,2025,1,Spring,,
20241317,452,3/27/2025,27,3,March,2025,1,Spring,,
20241318,453,3/28/2025,28,3,March,2025,1,Spring,,
20241319,454,3/29/2025,29,3,March,2025,1,Spring,,
20241320,455,3/30/2025,30,3,March,2025,1,Spring,,
20241321,456,3/31/2025,31,3,March,2025,1,Spring,,
20241322,457,4/1/2025,1,4,April,2025,2,Spring,,
20241323,458,4/2/2025,2,4,April,2025,2,Spring,,
20241324,459,4/3/2025,3,4,April,2025,2,Spring,,
20241325,460,4/4/2025,4,4,April,2025,2,Spring,,
20241326,461,4/5/2025,5,4,April,2025,2,Spring,,
20241327,462,4/6/2025,6,4,April,2025,2,Spring,,
20241328,463,4/7/2025,7,4,April,2025,2,Spring,,
20241329,464,4/8/2025,8,4,April,2025,2,Spring,,
20241330,465,4/9/2025,9,4,April,2025,2,Spring,,
20241331,466,4/10/2025,10,4,April,2025,2,Spring,,
20241332,467,4/11/2025,11,4,April,2025,2,Spring,,
20241333,468,4/12/2025,12,4,April,2025,2,Spring,,
20241334,469,4/13/2025,13,4,April,2025,2,Spring,,
20241335,470,4/14/2025,14,4,April,2025,2,Spring,,
20241336,471,4/15/2025,15,4,April,2025,2,Spring,,
20241337,472,4/16/2025,16,4,April,2025,2,Spring,,
20241338,473,4/17/2025,17,4,April,2025,2,Spring,,
20241339,474,4/18/2025,18,4,April,2025,2,Spring,,
20241340,475,4/19/2025,19,4,April,2025,2,Spring,,
20241341,476,4/20/2025,20,4,April,2025,2,Spring,,
20241342,477,4/21/2025,21,4,April,2025,2,Spring,,
20241343,478,4/22/2025,22,4,April,2025,2,Spring,,
20241344,479,4/23/2025,23,4,April,2025,2,Spring,,
20241345,480,4/24/2025,24,4,April,2025,2,Spring,,
20241346,481,4/25/2025,25,4,April,2025,2,Spring,,
20241347,482,4/26/2025,26,4,April,2025,2,Spring,,
20241348,483,4/27/2025,27,4,April,2025,2,Spring,,
20241349,484,4/28/2025,28,4,April,2025,2,Spring,,
20241350,485,4/29/2025,29,4,April,2025,2,Spring,,
20241351,486,4/30/2025,30,4,April,2025,2,Spring,,
20241352,487,5/1/2025,1,5,May,2025,2,Spring,,
20241353,488,5/2/2025,2,5,May,2025,2,Spring,,
20241354,489,5/3/2025,3,5,May,2025,2,Spring,,
20241355,490,5/4/2025,4,5,May,2025,2,Spring,,
20241356,491,5/5/2025,5,5,May,2025,2,Spring,,
20241357,492,5/6/2025,6,5,May,2025,2,Spring,,
20241358,493,5/7/2025,7,5,May,2025,2,Spring,,
20241359,494,5/8/2025,8,5,May,2025,2,Spring,,
20241360,495,5/9/2025,9,5,May,2025,2,Spring,,
20241361,496,5/10/2025,10,5,May,2025,2,Spring,,
20241362,497,5/11/2025,11,5,May,2025,2,Spring,,
20241363,498,5/12/2025,12,5,May,2025,2,Spring,,
20241364,499,5/13/2025,13,5,May,2025,2,Spring,,

