Geograophy_SK,country,city,postal code
860,Mexico,Lazaro Cardenas,92933
861,Japan,Yatsuomachi-higashikumisaka,939-2747
862,Indonesia,Sudimoro,
863,Indonesia,Timon,
864,Ukraine,Torkanivka,
865,Sweden,T??by,187 06
866,Mexico,Las Americas,88925
867,United States,Columbus,31914
868,Philippines,Unidad,8308
869,Peru,Lajas,
870,China,Dingcheng,
871,Indonesia,Ketitang Wetan,
872,Macedonia,Gorno Orizari,1408
873,Sweden,Falun,791 26
874,Morocco,Timezgadiouine,
875,Greece,Athens,
876,China,Dongchong,
877,Ukraine,Okhtyrka,
878,China,Dangjiaxian,
879,Indonesia,Kubangeceng,
880,China,Henghe,
881,China,Dama,
882,Indonesia,Kebonkalapa,
883,New Zealand,Paihia,0247
884,Latvia,Sala,
885,Japan,Hamakita,929-1174
886,China,Kuanghe,
887,Japan,Kariya,969-1619
888,Czech Republic,Hradec Kr?≠lov??,500 02
889,Norway,Larvik,3260
890,Colombia,Fosca,251837
891,Mexico,Lazaro Cardenas,81803
892,China,Yangjiafang,
893,Honduras,El Cubolero,
894,Bulgaria,Bansko,2770
895,Sweden,??rebro,700 15
896,Slovenia,Koéçevje,1330
897,Albania,Kokaj,
898,Japan,Asahikawa,905-0003
899,Democratic Republic of the Congo,Boende,
900,Argentina,Mar del Plata,7600
901,Libya,WaddéÅn,
902,Indonesia,Sewon,
903,Peru,Usicayos,
904,Mexico,Luis Donaldo Colosio,26095
905,Somalia,Qandala,
906,Poland,èÅubniany,46-024
907,Morocco,Timoulilt,
908,Indonesia,Mentaras,
909,Guatemala,San Pedro Necta,13006
910,Indonesia,Palampal,
911,China,Huangben,
912,Serbia,Lebane,
913,China,Xijia,
914,Venezuela,La Uni??n,
915,China,Yingchuan,
916,China,Gaojialing,
917,Philippines,Bacong,6216
918,France,Carpentras,84204 CEDEX
919,Russia,UstÉ??-Uda,666395
920,Thailand,Si Khoraphum,67160
921,Dominican Republic,Pedro Garc??a,11604
922,China,Lushikeng,
923,Russia,Shebekino,309296
924,Colombia,La Mesa,252608
925,Indonesia,Baran,
926,Ethiopia,DéÆla,
927,Poland,Mré?gowo,11-709
928,Indonesia,Pandanwangi,
929,Indonesia,Taman,
930,Ethiopia,MéÆzan TeferéÆ,
931,China,Longtang,
932,Honduras,San Jos??,
933,Ethiopia,Korem,
934,Mongolia,Khujirt,
935,Indonesia,Wewit,
936,Belarus,Hlybokaye,
937,Senegal,Ndib??ne Dahra,
938,China,Shangyong,
939,China,Nalinggou,
940,Czech Republic,Zajeéç??,691 05
941,Brazil,Palmital,19970-000
942,China,Jincheng,
943,China,Yanjiang,
944,Japan,Nihommatsu,969-1513
945,France,Pessac,33604 CEDEX
946,Slovenia,Kranjska Gora,4280
947,China,Wujing,
948,Brazil,Porto Ferreira,13660-000
949,Philippines,San Francisco,8501
950,China,Wulingyuan,
951,Brazil,Canela,95680-000
952,Russia,Desnogorsk,216546
953,France,Rochefort,17314 CEDEX
954,China,Changma,
955,China,Linjiang,
956,China,Jieshou,
957,China,Henglu,
958,Czech Republic,Bechyné?,391 65
959,Czech Republic,Hav??è?ov,717 00
960,China,Lianpeng,
961,Indonesia,Natarleba,
962,China,Jiamaogong,
963,France,Montb??liard,25204 CEDEX
964,China,Xinqiao,
965,Nigeria,Olupona,
966,New Zealand,North Shore,0748
967,Indonesia,Palon,
968,Indonesia,Pariaman,
969,Sweden,Norrt??lje,761 31
970,China,Xinchong,
971,Philippines,San Rafael,5039
972,Russia,Yamkino,601231
973,Indonesia,Penanggapan,
974,Portugal,Coja,3305-096
975,Dominican Republic,Partido,10505
976,China,Nanpiao,
977,Argentina,Nueve de Julio,3606
978,Poland,Wilczyce,27-612
979,China,Jianguo,
980,Philippines,Caridad,1607
981,Indonesia,Rantaupanjang,
982,China,Hezheng Chengguanzhen,
983,Indonesia,Kuwumkumambal,
984,Japan,Wakayama-shi,649-6326
985,Moldova,Comrat,MD-5354
986,Indonesia,Cihampelas,
987,South Africa,Claremont,7740
988,China,Outing,
989,Indonesia,Gudang,
990,Afghanistan,KandahéÅr,
991,China,Fushun,
992,Palestinian Territory,KharbathéÅ BanéÆ †??éÅrith,
993,Albania,Lukov?Æ,
994,Turkmenistan,Kaka,
995,Philippines,Joroan,6007
996,Chile,Vallenar,
997,Indonesia,Campok,
998,Portugal,Gavi?úo,6040-104
999,China,Dahongmen,
1000,China,Muli,
